== Core 0 ==
ID                   IN_TIME    DELTA      TYPE            STATE           MERGED  MERGED_ID            MERGED_TYPE     MERGED_STATE   
23626                509939     61         DFETCH          MEM_IN_NOC      0       -1                   NULL            (null)         
23627                509940     60         DSTORE          MEM_IN_NOC      0       -1                   NULL            (null)         
23628                509940     60         DSTORE          MEM_MERGED      1       23627                DSTORE          MEM_IN_NOC     
23629                509940     60         DFETCH          MEM_MERGED      1       23627                DSTORE          MEM_IN_NOC     

== Core 1 ==
ID                   IN_TIME    DELTA      TYPE            STATE           MERGED  MERGED_ID            MERGED_TYPE     MERGED_STATE   
6                    18         509982     DSTORE          MEM_IN_NOC      0       -1                   NULL            (null)         
7                    18         509982     DSTORE          MEM_MERGED      1       6                    DSTORE          MEM_IN_NOC     
8                    18         509982     DSTORE          MEM_MERGED      1       6                    DSTORE          MEM_IN_NOC     
9                    18         509982     DSTORE          MEM_MERGED      1       6                    DSTORE          MEM_IN_NOC     
10                   18         509982     DSTORE          MEM_MERGED      1       6                    DSTORE          MEM_IN_NOC     
11                   18         509982     DSTORE          MEM_MERGED      1       6                    DSTORE          MEM_IN_NOC     
13                   20         509980     DFETCH          MEM_IN_NOC      0       -1                   NULL            (null)         
15                   22         509978     DSTORE          MEM_IN_NOC      0       -1                   NULL            (null)         

