Current cycle:7139997
ID             CYCLE          DELTA          SRC DST 
1565478        7139796        201            16  11  
1565296        7139862        135            16  9   
1565600        7139883        114            16  13  
1565664        7139895        102            11  16  
1565630        7139907        90             16  15  
1565540        7139922        75             16  11  
1565677        7139931        66             11  16  
1565577        7139934        63             16  11  
1565582        7139946        51             16  11  
1565689        7139955        42             11  16  
1565586        7139958        39             16  11  
1565595        7139970        27             16  11  
1565703        7139973        24             12  16  
1565607        7139982        15             16  11  
1565713        7139991        6              11  16  
1565658        7139994        3              16  14  
1565722        7139997        0              14  16  
