Current cycle:509999
Core id:1
Last terminated thread:0
----------------------------------------------------------
core 0
average execution cycle: 396
INST_NUM  UOP_NUM   TID       CYCLE          DELTA          STATE                    OPCODE                   UOP_TYPE            MEM_TYPE            CF_TYPE             DEP_TYPE            CHILD PARENT    


Current cycle:509999
Core id:1
Last terminated thread:0
----------------------------------------------------------
core 1
average execution cycle: 0
INST_NUM  UOP_NUM   TID       CYCLE          DELTA          STATE                    OPCODE                   UOP_TYPE            MEM_TYPE            CF_TYPE             DEP_TYPE            CHILD PARENT    
1         0         0         0              509999         OS_DCACHE_BEGIN          PUSH                     UOP_IMEM            ST                  NOT_CF              REG_DATA_DEP        0     0         
2         1         0         0              509999         OS_EXEC_BEGIN            DATAXFER                 UOP_IADD            NOT                 NOT_CF              REG_DATA_DEP        0     0         
3         2         0         0              509999         OS_DCACHE_BEGIN          PUSH                     UOP_IMEM            ST                  NOT_CF              REG_DATA_DEP        0     0         
4         3         0         0              509999         OS_DCACHE_BEGIN          PUSH                     UOP_IMEM            ST                  NOT_CF              REG_DATA_DEP        0     0         
5         4         0         0              509999         OS_DCACHE_BEGIN          PUSH                     UOP_IMEM            ST                  NOT_CF              REG_DATA_DEP        0     0         
6         5         0         0              509999         OS_DCACHE_BEGIN          PUSH                     UOP_IMEM            ST                  NOT_CF              REG_DATA_DEP        0     0         
7         6         0         0              509999         OS_DCACHE_BEGIN          PUSH                     UOP_IMEM            ST                  NOT_CF              REG_DATA_DEP        0     0         
8         7         0         0              509999         OS_EXEC_BEGIN            DATAXFER                 UOP_IADD            NOT                 NOT_CF              REG_DATA_DEP        0     0         
9         8         0         1              509998         OS_EXEC_BEGIN            BINARY                   UOP_IADD            NOT                 NOT_CF              REG_DATA_DEP        0     0         
10        9         0         1              509998         OS_EXEC_BEGIN            SYSTEM                   UOP_IADD            NOT                 CF_ICO              MEM_ADDR_DEP        0     0         
11        10        0         1              509998         OS_EXEC_BEGIN            SHIFT                    UOP_SHIFT           NOT                 NOT_CF              REG_DATA_DEP        0     0         
12        11        0         1              509998         OS_EXEC_BEGIN            DATAXFER                 UOP_IADD            NOT                 NOT_CF              REG_DATA_DEP        0     0         
13        12        0         1              509998         OS_EXEC_BEGIN            LOGICAL                  UOP_LOGIC           NOT                 NOT_CF              REG_DATA_DEP        0     0         
14        13        0         1              509998         OS_EXEC_BEGIN            MISC                     UOP_IADD            NOT                 NOT_CF              REG_DATA_DEP        0     0         
15        14        0         1              509998         OS_DCACHE_BEGIN          BINARY                   UOP_IMEM            LD                  NOT_CF              REG_DATA_DEP        0     0         
15        15        0         1              509998         OS_FETCHED               BINARY                   UOP_IADD            NOT                 NOT_CF              REG_DATA_DEP        0     0         
16        16        0         2              509997         OS_DCACHE_BEGIN          DATAXFER                 UOP_IMEM            ST                  NOT_CF              REG_DATA_DEP        0     0         
17        17        0         2              509997         OS_FETCHED               DATAXFER                 UOP_IADD            NOT                 NOT_CF              REG_DATA_DEP        0     0         
18        18        0         2              509997         OS_FETCHED               BINARY                   UOP_IMEM            LD                  NOT_CF              REG_DATA_DEP        0     0         
18        19        0         2              509997         OS_FETCHED               BINARY                   UOP_IADD            NOT                 NOT_CF              REG_DATA_DEP        0     0         
19        20        0         2              509997         OS_FETCHED               DATAXFER                 UOP_IMEM            ST                  NOT_CF              REG_DATA_DEP        0     0         
20        21        0         2              509997         OS_FETCHED               DATAXFER                 UOP_IMEM            LD                  NOT_CF              REG_DATA_DEP        0     0         
21        22        0         2              509997         OS_FETCHED               DATAXFER                 UOP_IMEM            ST                  NOT_CF              REG_DATA_DEP        0     0         
22        23        0         2              509997         OS_FETCHED               LOGICAL                  UOP_LOGIC           NOT                 NOT_CF              REG_DATA_DEP        0     0         
23        24        0         3              509996         OS_FETCHED               COND_BR                  UOP_IADD            NOT                 NOT_CF              REG_DATA_DEP        0     0         
23        25        0         3              509996         OS_FETCHED               BINARY                   UOP_CF              NOT                 CF_CBR              REG_DATA_DEP        0     0         
24        26        0         3              509996         OS_EXEC_BEGIN            DATAXFER                 UOP_IADD            NOT                 NOT_CF              REG_DATA_DEP        0     0         
25        27        0         3              509996         OS_EXEC_BEGIN            DATAXFER                 UOP_IADD            NOT                 NOT_CF              REG_DATA_DEP        0     0         
26        28        0         3              509996         OS_EXEC_BEGIN            DATAXFER                 UOP_IADD            NOT                 NOT_CF              REG_DATA_DEP        0     0         
27        29        0         3              509996         OS_FETCHED               MISC                     UOP_IADD            NOT                 NOT_CF              REG_DATA_DEP        0     0         
28        30        0         3              509996         OS_EXEC_BEGIN            DATAXFER                 UOP_IADD            NOT                 NOT_CF              REG_DATA_DEP        0     0         
29        31        0         3              509996         OS_EXEC_BEGIN            DATAXFER                 UOP_IADD            NOT                 NOT_CF              REG_DATA_DEP        0     0         


